source,target,context
Login,Логин,
Password,Пароль,
Email,Эл. почта,
Show,Показать,
"Forgot Password?","Забыли пароль?",
"Reset Password","Сбросить пароль",
"Back to Login","Назад ко входу",
"Login to {0}","Войти в {0}",
"Login with Email Link","Войти по ссылке",
"Login with LDAP","Войти через LDAP",
"Login with {0}","Войти через {0}",
"Login with Frappe Cloud","Войти через Frappe Cloud",
"Send login link","Отправить ссылку для входа",
"Email Address","Адрес эл. почты",
"Don't have an account?","Нет аккаунта?",
"Sign up","Зарегистрироваться",
"Signup Disabled","Регистрация отключена",
"Signups have been disabled for this website.","Регистрация на этом сайте отключена.",
Home,Главная,
"Forgot Password","Забыли пароль",
or,или,
"Access Denied","Нет доступа",
"Not Permitted","Нет доступа",
"Not permitted","Нет доступа",
Accept,Принять,
"Accept Call","Принять звонок",
Actions,Действия,
Activity,Активность,
Add,Добавить,
"Add Account","Добавить аккаунт",
"Add Assignee","Добавить исполнителя",
"Add Attendee","Добавить участника",
"Add Chart","Добавить график",
"Add Column","Добавить столбец",
"Add Condition","Добавить условие",
"Add Condition Group","Добавить группу условий",
"Add Description","Добавить описание",
"Add Email","Добавить email",
"Add Existing User","Добавить существующего пользователя",
"Add Field","Добавить поле",
"Add Filter","Добавить фильтр",
"Add Lead or Deal","Добавить лид или сделку",
"Add Location","Добавить местоположение",
"Add Mobile Number...","Добавить номер телефона...",
"Add Note","Добавить заметку",
"Add Notification","Добавить уведомление",
"Add Organization...","Добавить организацию...",
"Add Row","Добавить строку",
"Add Sample Data","Добавить тестовые данные",
"Add Section","Добавить раздел",
"Add Sort","Добавить сортировку",
"Add Tab","Добавить вкладку",
"Add Task","Добавить задачу",
"Add a Condition","Добавить условие",
"Add a Custom Condition","Добавить пользовательское условие",
"Add a Note","Добавить заметку",
"Add a Task","Добавить задачу",
"Add a name for your source","Добавьте название источника",
"Add description...","Добавить описание...",
"Add one to get started.","Добавьте один чтобы начать.",
"Add your first comment","Добавьте первый комментарий",
Admin,Администратор,
All,Все,
"All Day","Весь день",
Amount,Сумма,
"An error occurred","Произошла ошибка",
"An error occurred while updating the document","Ошибка при обновлении документа",
And,И,
"Annual Revenue","Годовой доход",
"Annual Revenue should be a number","Годовой доход должен быть числом",
Apply,Применить,
"Apply On","Применить к",
Apps,Приложения,
"Are you sure you want to delete this attachment?","Вы уверены, что хотите удалить это вложение?",
"Are you sure you want to delete this contact?","Вы уверены, что хотите удалить этот контакт?",
"Are you sure you want to delete this event?","Вы уверены, что хотите удалить это событие?",
"Are you sure you want to delete this organization?","Вы уверены, что хотите удалить эту организацию?",
"Are you sure you want to delete this task?","Вы уверены, что хотите удалить эту задачу?",
"Assign To","Назначить",
"Assign To Me","Назначить мне",
Assignees,Исполнители,
Attachments,Вложения,
"Auto Assign","Авто-назначение",
Back,Назад,
"Before Due Date","До срока",
"Bulk Actions","Массовые действия",
Calendar,Календарь,
Call,Звонок,
"Call Duration","Длительность звонка",
"Call Log","Журнал звонков",
"Call Logs","Журнал звонков",
Cancel,Отмена,
"Change","Изменить",
"Change deal status","Изменить статус сделки",
"Clear All","Очистить всё",
"Clear Demo Data","Очистить демо данные",
"Clear Filters","Очистить фильтры",
Close,Закрыть,
Collapse,Свернуть,
Color,Цвет,
Column,Столбец,
Comment,Комментарий,
Comments,Комментарии,
Condition,Условие,
Conditions,Условия,
Configure,Настроить,
Contact,Контакт,
Contacts,Контакты,
"Convert","Конвертировать",
"Convert lead to deal","Конвертировать лид в сделку",
"Copy Link","Копировать ссылку",
"Create View","Создать вид",
"Create your first lead","Создайте первый лид",
"Create your first note","Создайте первую заметку",
"Create your first task","Создайте первую задачу",
"Custom Actions","Пользовательские действия",
"Custom Branding","Пользовательский брендинг",
"Custom Fields","Пользовательские поля",
"Custom List Actions","Пользовательские действия списка",
"Custom Statuses","Пользовательские статусы",
Customization,Настройки,
"Customize Quick Filters","Настроить быстрые фильтры",
Data,Данные,
Deal,Сделка,
Deals,Сделки,
"Deal Value","Стоимость сделки",
Default,По умолчанию,
"Delete","Удалить",
"Delete View","Удалить вид",
"Deleted Successfully","Успешно удалено",
Description,Описание,
Details,Детали,
"Disable","Отключить",
"Done","Готово",
Download,Скачать,
"Draft","Черновик",
"Due Date","Срок",
Duplicate,Дублировать,
"Duration","Длительность",
Edit,Редактировать,
"Edit View","Редактировать вид",
"Email Communication","Эл. переписка",
"Email Template","Шаблон письма",
"Email Templates","Шаблоны писем",
"Enable","Включить",
Error,Ошибка,
Events,События,
"Expected Closing Date","Ожидаемая дата закрытия",
Expand,Развернуть,
Export,Экспорт,
"Export Type","Тип экспорта",
Field,Поле,
Fields,Поля,
Filter,Фильтр,
Filters,Фильтры,
"First Name","Имя",
"First Response Time","Время первого ответа",
"Forecasted Value","Прогнозируемое значение",
"From","От",
"From Date","С даты",
"Full Name","Полное имя",
"Group By","Группировать по",
"Hide","Скрыть",
High,Высокий,
"Home Actions","Действия на главной",
Icon,Иконка,
"Import","Импорт",
Incoming,Входящий,
"Industry","Отрасль",
Integration,Интеграция,
"Invite Users","Пригласить пользователей",
"Invite your team","Пригласить команду",
Kanban,Канбан,
"Last Activity","Последняя активность",
"Last Modified","Последнее изменение",
"Last Name","Фамилия",
"Lead","Лид",
"Lead Source","Источник лида",
Leads,Лиды,
"List","Список",
"Load More","Загрузить ещё",
Loading,Загрузка,
Low,Низкий,
"Make Private","Сделать приватным",
"Make Public","Сделать публичным",
"Mark as Done","Отметить как выполненное",
Medium,Средний,
"Meeting","Встреча",
"Mobile No","Номер телефона",
"More Options","Ещё параметры",
Name,Название,
"New","Новый",
"New Deal","Новая сделка",
"New Event","Новое событие",
"New Lead","Новый лид",
"New Note","Новая заметка",
"New Task","Новая задача",
"New View","Новый вид",
Next,Далее,
No,Нет,
"No Activity","Нет активности",
"No Assignees","Нет исполнителей",
"No Comments","Нет комментариев",
"No Data","Нет данных",
